PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
79	0.09112993	0.08575545	0.06953854	0.06089412	0.0576323	0.06436717	0.07401233	0.07146306	0.06392304	0.07355817	0.07002784	0.069084	0.07015803
80	0.09134611	0.08560192	0.06908371	0.06043707	0.0574153	0.06435052	0.07414366	0.07112525	0.06435724	0.07291551	0.07230274	0.07523703	0.07781373
81	0.0895248	0.08340228	0.0669305	0.05845889	0.05570578	0.06265988	0.0729137	0.06935174	0.06340344	0.07066615	0.07318495	0.08089834	0.08014861
82	0.08641447	0.08077952	0.06441456	0.05613968	0.05365319	0.06055225	0.0711235	0.06687697	0.06284262	0.06660727	0.07566245	0.08202802	0.08313396
83	0.08523763	0.07984773	0.06336191	0.05505844	0.05271067	0.05983702	0.07086256	0.0654468	0.06276385	0.06630103	0.07391357	0.0780133	0.08016536
84	0.08512723	0.07978034	0.0626804	0.05421066	0.05189667	0.05917707	0.0703021	0.06434718	0.06092363	0.0626893	0.0707092	0.06966226	0.07341926
85	0.08548833	0.07925481	0.06159986	0.05295288	0.05054209	0.05801108	0.06874102	0.06336411	0.05843313	0.0585049	0.0676256	0.0641781	0.07154941
86	0.086126	0.07883698	0.06060787	0.05178911	0.04934554	0.05697385	0.06776285	0.06231346	0.05632208	0.05682191	0.06296666	0.06394836	0.06726438
87	0.08614263	0.07897711	0.05991638	0.05092554	0.04865669	0.05644708	0.06750491	0.06134378	0.05598306	0.05638844	0.0684891	0.06687623	0.06770865
88	0.08695651	0.07961271	0.05980671	0.05063432	0.04857936	0.05663562	0.06820198	0.06039925	0.05603796	0.05810106	0.06769908	0.06674348	0.0681885
